Q9_1,Q9_2,Q9_3,HeadAcc,RawAX,RawAY,RawAZ,RawGX,RawGY,RawGZ,RawMX,RawMY,RawMZ,lon,lat,utc_datetime,ME
-0.78698,-0.54476,0.24458,305,-1822,-3798,-7004,9,-18,-21,-280,426,79,,,2024-06-27T20:48:00.800Z,M
-0.78683,-0.54495,0.24467,305,-1914,-3770,-7008,10,-10,-8,-276,414,70,,,2024-06-27T20:48:00.820Z,M
-0.78667,-0.54509,0.24493,305,-1934,-3770,-6984,21,-22,2,-276,409,67,,,2024-06-27T20:48:00.840Z,M
-0.78649,-0.54526,0.24518,305,-1898,-3808,-7098,16,-28,-4,-281,417,72,,,2024-06-27T20:48:00.860Z,M
-0.7863,-0.54548,0.24545,305,-1894,-3804,-7046,9,-34,-3,-279,414,75,,,2024-06-27T20:48:00.880Z,M
-0.7859,-0.54587,0.24606,305,-1734,-3718,-6986,26,-38,-1,-272,418,84,,,2024-06-27T20:48:00.900Z,M
-0.78554,-0.54620,0.24649,305,-1696,-3672,-7000,38,-45,-22,-269,419,75,,,2024-06-27T20:48:00.920Z,M
-0.78503,-0.54669,0.24703,305,-1738,-3710,-6954,43,-55,-34,-271,414,90,,,2024-06-27T20:48:00.940Z,M
-0.78452,-0.54709,0.24775,305,-1840,-3740,-6994,56,-70,-32,-275,418,79,,,2024-06-27T20:48:00.960Z,M
-0.78403,-0.54747,0.24854,305,-1890,-3774,-7022,53,-77,-19,-279,411,88,,,2024-06-27T20:48:00.980Z,M
-0.78353,-0.54790,0.24926,305,-1926,-3884,-7040,41,-80,-38,-274,425,72,,,2024-06-27T20:48:01Z,M
-0.78297,-0.54851,0.24977,305,-2012,-3970,-7008,20,-66,-55,-281,419,80,,,2024-06-27T20:48:01.020Z,M
-0.78242,-0.54920,0.25022,305,-1934,-3934,-6988,0,-28,-22,-280,426,74,,,2024-06-27T20:48:01.040Z,M
-0.78223,-0.54945,0.25032,305,-1844,-3820,-7020,6,-20,-15,-284,419,75,,,2024-06-27T20:48:01.060Z,M
-0.78204,-0.54977,0.25031,305,-1866,-3784,-6996,-4,-10,-17,-279,414,75,,,2024-06-27T20:48:01.080Z,M
-0.7818,-0.55010,0.25044,305,-1724,-3604,-7002,8,-31,-27,-275,429,71,,,2024-06-27T20:48:01.100Z,M
-0.78134,-0.55055,0.25097,305,-1740,-3578,-7052,32,-73,-44,-274,430,77,,,2024-06-27T20:48:01.120Z,M
-0.7807,-0.55120,0.25161,305,-1806,-3580,-7086,37,-89,-72,-280,431,76,,,2024-06-27T20:48:01.140Z,M
-0.78,-0.55193,0.25225,305,-1818,-3612,-7008,39,-87,-82,-280,431,81,,,2024-06-27T20:48:01.170Z,M
-0.77807,-0.55435,0.25291,305,-1814,-3778,-6866,1,-64,-160,-284,425,77,,,2024-06-27T20:48:01.190Z,M
-0.77696,-0.55608,0.25259,305,-2000,-3850,-6846,-44,-28,-201,-280,426,81,,,2024-06-27T20:48:01.210Z,M
-0.776,-0.55750,0.25229,305,-2126,-4178,-6800,-19,2,-171,-274,427,88,,,2024-06-27T20:48:01.230Z,M
-0.77544,-0.55816,0.25238,302,-2172,-4114,-6928,28,-4,-85,-278,421,71,,,2024-06-27T20:48:01.250Z,M
-0.77499,-0.55847,0.25299,300,-2288,-4194,-7018,53,-47,-42,-278,423,69,,,2024-06-27T20:48:01.270Z,M
-0.77462,-0.55874,0.2537,297,-2188,-4064,-7166,27,-80,-14,-290,421,81,,,2024-06-27T20:48:01.290Z,M
-0.77439,-0.55905,0.25405,297,-2168,-3994,-7024,-15,-60,-12,-279,425,77,,,2024-06-27T20:48:01.310Z,M
-0.7741,-0.55939,0.25465,297,-2030,-3818,-6816,4,-48,11,-275,426,81,,,2024-06-27T20:48:01.330Z,M
-0.77386,-0.55959,0.25505,297,-2032,-3782,-6828,21,-41,-4,-271,422,83,,,2024-06-27T20:48:01.350Z,M
-0.77381,-0.55963,0.25512,297,-1984,-3968,-6852,13,0,5,-279,422,70,,,2024-06-27T20:48:01.370Z,M
-0.77394,-0.55936,0.25529,297,-2002,-3976,-6936,31,4,41,-275,426,76,,,2024-06-27T20:48:01.390Z,M
-0.7742,-0.55900,0.25546,297,-2054,-4002,-7082,3,-7,73,-274,417,80,,,2024-06-27T20:48:01.410Z,M
-0.77458,-0.55863,0.25562,297,-2020,-3818,-7088,-39,-40,86,-269,430,75,,,2024-06-27T20:48:01.430Z,M
-0.77474,-0.55856,0.2559,297,-2002,-3698,-6936,-57,-74,61,-279,422,80,,,2024-06-27T20:48:01.450Z,M
-0.77455,-0.55885,0.25646,297,-1916,-3612,-6848,-40,-109,17,-280,421,81,,,2024-06-27T20:48:01.470Z,M
-0.77345,-0.56033,0.25708,297,-1930,-3754,-6784,-7,-61,-91,-274,427,67,,,2024-06-27T20:48:01.490Z,M
-0.77279,-0.56114,0.25717,297,-2086,-3712,-6762,21,-18,-101,-279,417,70,,,2024-06-27T20:48:01.510Z,M
-0.77225,-0.56150,0.25767,297,-2184,-3814,-6846,93,-11,-57,-271,422,83,,,2024-06-27T20:48:01.530Z,M
-0.77187,-0.56145,0.25844,297,-2152,-3800,-7018,132,-17,-21,-279,430,80,,,2024-06-27T20:48:01.550Z,M
-0.77153,-0.56164,0.25875,297,-2126,-3850,-7110,79,3,-35,-280,421,76,,,2024-06-27T20:48:01.570Z,M
-0.77103,-0.56216,0.25884,297,-2024,-3906,-7102,53,6,-73,-284,427,85,,,2024-06-27T20:48:01.590Z,M
-0.77058,-0.56285,0.25849,297,-2016,-3948,-7042,6,31,-86,-283,423,79,,,2024-06-27T20:48:01.610Z,M
-0.77031,-0.56362,0.25749,297,-1914,-3942,-6998,-14,37,-16,-284,419,93,,,2024-06-27T20:48:01.630Z,M
-0.77026,-0.56390,0.25709,297,-1934,-3914,-6890,-30,27,-17,-275,423,71,,,2024-06-27T20:48:01.650Z,M
