individual,filename,start_time,duration_sec,end_time
Collar_2,C0007_Collar2.MP4,2024-07-02T10:28:25.520Z,72.48,2024-07-02T10:29:38Z
Collar_2,C0008_Collar2.MP4,2024-07-02T10:29:57.040Z,24.96,2024-07-02T10:30:22Z
Collar_2,C0010_Collar2.MP4,2024-07-02T10:30:47.280Z,6.72,2024-07-02T10:30:54Z
Collar_2,Collar2_02.07.24 (2).MOV,2024-07-02T10:23:51.840Z,8.16,2024-07-02T10:24:00Z
Collar_2,Collar2_02.07.24 (3).MOV,2024-07-02T10:20:30.400Z,237.6,2024-07-02T10:24:28Z
Collar_2,Collar2_02.07.24 (4).MOV,2024-07-02T10:28:46.360Z,29.64,2024-07-02T10:29:16Z
Collar_2,Collar2_02.07.24 (5).MOV,2024-07-02T10:29:34.680Z,19.32,2024-07-02T10:29:54Z
Collar_2,Collar2_02.07.24 (6).MOV,2024-07-02T10:30:28.960Z,11.04,2024-07-02T10:30:40Z
Collar_2,Collar2_02.07.24.MOV,2024-07-02T09:37:51.280Z,174.72,2024-07-02T09:40:46Z
Collar_2,DJI_20240704092742_0046_D_collar2.MP4,2024-07-04T09:27:43.208901Z,481.5811,2024-07-04T09:35:44.790001Z
Collar_2,DJI_20240704093550_0047_D_collar2.MP4,2024-07-04T09:35:50.614632Z,312.345367,2024-07-04T09:41:02.959999Z
Collar_2,C0001.MP4,2024-07-04T07:14:01.280Z,126.72,2024-07-04T07:16:08Z
Collar_2,C0002.MP4,2024-07-04T07:16:12.240Z,53.76,2024-07-04T07:17:06Z
Collar_2,C0003.MP4,2024-07-04T07:17:36.320Z,7.68,2024-07-04T07:17:44Z
Collar_2,C0004.MP4,2024-07-04T07:17:49.280Z,42.72,2024-07-04T07:18:32Z
Collar_2,00013.mp4,2025-08-03T00:42:22.224Z,71.776,2025-08-03T00:43:34Z
Collar_2,DSC_0366.MOV,2024-07-07T10:07:13.040Z,180.96,2024-07-07T10:10:14Z
Collar_2,DSC_0367.MOV,2024-07-07T10:11:36.440Z,139.56,2024-07-07T10:13:56Z
Collar_2,DSC_0368.MOV,2024-07-07T10:16:52.400Z,15.6,2024-07-07T10:17:08Z
Collar_2,20240629_133300_collar02.mp4,2025-08-07T03:25:59.188150Z,29.8795,2025-08-07T03:26:29.067650Z
Collar_3,Colla3_Collar13_05.07.24.MOV,2024-07-05T10:16:39.840Z,56.16,2024-07-05T10:17:36Z
Collar_3,Collar 14.MOV,2024-07-05T08:39:18.520Z,39.48,2024-07-05T08:39:58Z
Collar_3,Collar 3.MOV,2024-07-05T08:39:18Z,138,2024-07-05T08:41:36Z
Collar_3,C0018_Collar3.MP4,2024-07-05T10:17:41.040Z,48.96,2024-07-05T10:18:30Z
Collar_3,00005.mp4,2025-08-03T00:40:42.656Z,177.344,2025-08-03T00:43:40Z
Collar_3,00005.MTS,2024-07-06T06:55:20.656Z,177.344,2024-07-06T06:58:18Z
Collar_3,00006.mp4,2025-08-03T00:36:28.176Z,449.824,2025-08-03T00:43:58Z
Collar_3,00006.MTS,2024-07-06T07:18:18.176Z,449.824,2024-07-06T07:25:48Z
Collar_3,00007.mp4,2025-08-03T00:43:45.360Z,16.64,2025-08-03T00:44:02Z
