internal_timestamp,gps_timestamp,lon,lat
01/01/2000 00:00:02.48,28/06/2024 20:24:31,31.180166,-25.572674
01/01/2000 00:08:57.67,28/06/2024 20:25:41,31.180249,-25.572711
01/01/2000 00:10:07.59,28/06/2024 20:30:31,31.180079,-25.572565
01/01/2000 00:14:57.63,28/06/2024 20:35:13,31.180064,-25.572594
01/01/2000 00:19:39.65,28/06/2024 20:40:11,31.180127,-25.572599
01/01/2000 00:24:37.72,28/06/2024 20:45:08,31.180107,-25.572575
01/01/2000 00:29:35.24,28/06/2024 20:50:09,31.180047,-25.572607
01/01/2000 00:34:35.68,28/06/2024 20:55:09,31.180097,-25.572641
01/01/2000 00:39:35.69,28/06/2024 21:00:12,31.179994,-25.572511
01/01/2000 00:44:38.70,28/06/2024 21:05:09,31.180109,-25.57264
01/01/2000 00:49:35.72,28/06/2024 21:10:13,31.180076,-25.572555
01/01/2000 00:54:39.71,28/06/2024 21:15:17,31.180045,-25.572558
01/01/2000 00:59:43.73,28/06/2024 21:20:14,31.180099,-25.572563
01/01/2000 01:04:40.68,28/06/2024 21:25:12,31.1798,-25.572342
01/01/2000 01:09:38.71,28/06/2024 21:30:05,31.179954,-25.572507
01/01/2000 01:14:31.83,28/06/2024 21:35:12,31.180161,-25.572622
01/01/2000 01:19:39.33,28/06/2024 21:40:08,31.180298,-25.572651
01/01/2000 01:24:34.78,28/06/2024 21:45:18,31.180119,-25.572553
01/01/2000 01:29:44.72,28/06/2024 21:50:11,31.180077,-25.572574
01/01/2000 01:34:37.75,28/06/2024 21:55:12,31.179962,-25.572588
01/01/2000 01:39:38.76,28/06/2024 22:00:12,31.179961,-25.572571
01/01/2000 01:44:38.76,28/06/2024 22:05:12,31.1801,-25.57259
01/01/2000 01:49:38.81,28/06/2024 22:10:13,31.180429,-25.572585
01/01/2000 01:54:39.71,28/06/2024 22:15:13,31.180211,-25.572582
01/01/2000 01:59:39.76,28/06/2024 22:21:01,31.180075,-25.572594
01/01/2000 02:05:27.75,28/06/2024 22:25:24,31.180129,-25.572563
01/01/2000 02:09:51.33,28/06/2024 22:30:12,31.180124,-25.572617
01/01/2000 02:14:38.77,28/06/2024 22:35:14,31.180117,-25.572521
01/01/2000 02:19:40.79,28/06/2024 22:40:12,31.180072,-25.572581
01/01/2000 02:24:38.80,28/06/2024 22:45:08,31.180179,-25.572577
01/01/2000 02:29:35.78,28/06/2024 22:50:14,31.180063,-25.572565
01/01/2000 02:34:40.81,28/06/2024 22:55:20,31.180075,-25.572555
01/01/2000 02:39:46.82,28/06/2024 23:00:31,31.180022,-25.572592
01/01/2000 02:44:58.40,28/06/2024 23:05:11,31.180038,-25.572577
01/01/2000 02:49:38.44,28/06/2024 23:10:09,31.180133,-25.572607
01/01/2000 02:54:35.97,28/06/2024 23:15:13,31.180088,-25.57256
01/01/2000 02:59:39.81,28/06/2024 23:20:05,31.179979,-25.572509
01/01/2000 03:04:32.58,28/06/2024 23:25:19,31.180052,-25.572645
01/01/2000 03:09:46.39,28/06/2024 23:30:06,31.180094,-25.57269
01/01/2000 03:14:33.84,28/06/2024 23:35:15,31.180169,-25.572698
01/01/2000 03:19:41.85,28/06/2024 23:40:14,31.180161,-25.572607
01/01/2000 03:24:40.85,28/06/2024 23:45:09,31.180207,-25.572595
01/01/2000 03:29:35.88,28/06/2024 23:50:15,31.18004,-25.572544
01/01/2000 03:34:41.87,28/06/2024 23:55:08,31.180104,-25.572555
01/01/2000 03:39:35.87,29/06/2024 00:00:20,31.180004,-25.572565
01/01/2000 03:44:46.84,29/06/2024 00:05:31,31.18006,-25.572522
01/01/2000 03:49:57.86,29/06/2024 00:10:06,31.180133,-25.572547
01/01/2000 03:54:33.85,29/06/2024 00:15:13,31.180211,-25.57261
01/01/2000 03:59:40.45,29/06/2024 00:20:14,31.180068,-25.572614
01/01/2000 04:04:40.88,29/06/2024 00:25:15,31.180059,-25.572631
01/01/2000 04:09:41.89,29/06/2024 00:30:14,31.180203,-25.572624
01/01/2000 04:14:40.90,29/06/2024 00:35:29,31.180134,-25.572567
01/01/2000 04:19:55.91,29/06/2024 00:40:11,31.18031,-25.572523
01/01/2000 04:24:37.96,29/06/2024 00:45:11,31.180128,-25.572566
01/01/2000 04:29:37.93,29/06/2024 00:50:13,31.180157,-25.572535
01/01/2000 04:34:39.87,29/06/2024 00:55:37,31.180094,-25.572577
01/01/2000 04:40:03.90,29/06/2024 01:00:12,31.180242,-25.572567
01/01/2000 04:44:38.91,29/06/2024 01:05:09,31.180054,-25.572546
01/01/2000 04:49:36.89,29/06/2024 01:10:19,31.17998,-25.572479
01/01/2000 04:54:45.93,29/06/2024 01:15:09,31.180551,-25.57023
01/01/2000 04:59:36.87,29/06/2024 01:20:12,31.180073,-25.572518
01/01/2000 05:04:38.95,29/06/2024 01:25:12,31.180087,-25.572578
